business_id,score,date,type
10,94,07/29/2014,routine
10,92,01/14/2014,routine
19,94,11/10/2014,routine
19,94,02/14/2014,routine
19,96,09/04/2013,routine
24,96,03/11/2016,routine
24,96,11/24/2014,routine
24,96,06/12/2014,routine
24,100,11/18/2013,routine
31,98,12/04/2015,routine
31,100,09/08/2014,routine
45,78,01/04/2016,routine
45,94,09/09/2014,routine
45,94,12/09/2013,routine
48,92,05/23/2014,routine
48,90,11/01/2013,routine
50,100,04/02/2014,routine
50,100,10/02/2013,routine
54,100,05/26/2015,routine
54,92,03/25/2014,routine
54,96,10/08/2013,routine
56,88,12/22/2015,routine
56,98,11/17/2014,routine
56,100,04/23/2014,routine
56,94,10/21/2013,routine
58,73,04/07/2016,routine
58,78,07/25/2014,routine
58,80,10/01/2013,routine
61,92,08/27/2015,routine
61,94,05/30/2014,routine
61,92,10/28/2013,routine
66,98,03/22/2016,routine
66,100,08/28/2015,routine
66,98,11/19/2014,routine
66,91,05/19/2014,routine
66,98,02/10/2014,routine
66,100,08/08/2013,routine
67,87,04/01/2016,routine
67,90,05/20/2015,routine
67,94,02/05/2014,routine
67,98,08/01/2013,routine
71,100,09/30/2015,routine
71,100,06/24/2014,routine
73,85,07/17/2015,routine
73,92,05/22/2014,routine
73,92,12/20/2013,routine
73,92,05/24/2013,routine
76,100,03/11/2016,routine
76,100,11/24/2014,routine
76,96,06/12/2014,routine
76,98,11/18/2013,routine
77,91,03/11/2016,routine
77,96,11/24/2014,routine
77,94,06/12/2014,routine
77,100,11/18/2013,routine
80,98,04/12/2016,routine
80,100,05/20/2014,routine
80,86,12/04/2013,routine
81,96,03/30/2015,routine
81,92,02/10/2014,routine
88,89,08/24/2015,routine
88,74,10/14/2014,routine
88,78,02/11/2014,routine
95,88,12/10/2015,routine
95,85,10/09/2014,routine
95,86,05/06/2014,routine
95,90,05/15/2013,routine
98,96,03/16/2016,routine
98,94,06/29/2015,routine
98,96,03/24/2014,routine
98,98,08/19/2013,routine
99,76,08/11/2015,routine
101,96,09/02/2014,routine
101,100,10/30/2013,routine
102,100,06/09/2015,routine
102,91,05/07/2014,routine
102,94,08/29/2013,routine
108,94,04/17/2015,routine
108,80,11/05/2013,routine
116,96,09/10/2014,routine
121,86,10/20/2015,routine
121,90,08/13/2014,routine
121,87,01/29/2014,routine
125,100,09/15/2014,routine
125,96,05/29/2013,routine
126,80,12/01/2015,routine
126,75,10/28/2014,routine
126,70,04/10/2014,routine
126,82,07/16/2013,routine
130,96,11/17/2015,routine
130,100,09/30/2014,routine
130,100,02/12/2014,routine
132,86,02/25/2015,routine
132,88,06/25/2014,routine
134,98,08/06/2015,routine
140,85,04/14/2016,routine
140,96,07/09/2014,routine
140,80,11/22/2013,routine
141,100,10/17/2014,routine
141,98,04/09/2014,routine
141,100,10/03/2013,routine
141,94,04/22/2013,routine
146,84,04/07/2016,routine
146,91,07/23/2015,routine
146,98,04/29/2014,routine
146,94,11/22/2013,routine
146,98,05/29/2013,routine
151,87,05/20/2015,routine
151,96,03/12/2014,routine
155,100,12/29/2015,routine
155,87,06/10/2015,routine
155,94,06/23/2014,routine
155,94,02/24/2014,routine
155,94,04/30/2013,routine
164,96,11/06/2015,routine
164,100,10/17/2014,routine
164,100,04/03/2014,routine
164,96,07/29/2013,routine
178,90,07/30/2014,routine
178,96,02/04/2014,routine
179,94,05/22/2014,routine
179,90,08/28/2013,routine
180,88,01/06/2016,routine
180,91,11/04/2014,routine
180,100,05/20/2014,routine
180,91,10/21/2013,routine
184,96,09/23/2014,routine
187,100,10/23/2014,routine
187,100,04/01/2014,routine
187,100,09/05/2013,routine
190,92,03/27/2015,routine
190,98,04/21/2014,routine
190,98,06/25/2013,routine
192,92,08/13/2014,routine
194,80,04/20/2015,routine
194,90,03/07/2014,routine
194,88,03/05/2014,routine
198,92,10/29/2015,routine
198,94,02/06/2015,routine
198,96,05/05/2014,routine
198,90,09/04/2013,routine
200,94,10/01/2015,routine
200,87,01/29/2015,routine
200,92,03/17/2014,routine
200,85,07/10/2013,routine
208,92,10/07/2015,routine
208,94,02/12/2015,routine
208,91,03/13/2014,routine
208,92,06/05/2013,routine
216,100,01/26/2015,routine
216,100,06/26/2014,routine
216,100,10/17/2013,routine
217,94,03/29/2016,routine
217,94,08/18/2015,routine
217,94,06/24/2014,routine
217,100,12/09/2013,routine
221,91,01/22/2014,routine
221,91,07/24/2013,routine
226,89,09/10/2014,routine
230,78,03/06/2015,routine
230,80,02/05/2014,routine
231,88,03/01/2016,routine
231,92,09/02/2014,routine
231,92,02/04/2014,routine
231,85,05/08/2013,routine
234,82,05/05/2015,routine
234,79,04/15/2014,routine
234,86,05/06/2013,routine
236,94,12/14/2015,routine
236,88,11/18/2014,routine
236,96,05/22/2013,routine
239,90,05/07/2014,routine
239,77,09/17/2013,routine
240,68,08/13/2015,routine
240,79,07/24/2014,routine
240,79,02/06/2014,routine
240,81,05/23/2013,routine
247,83,09/09/2014,routine
247,94,03/04/2014,routine
251,96,06/12/2014,routine
251,92,11/13/2013,routine
253,98,02/17/2015,routine
253,100,05/05/2014,routine
253,98,11/01/2013,routine
253,98,05/01/2013,routine
256,100,09/08/2015,routine
256,98,03/03/2014,routine
258,88,04/07/2016,routine
258,98,05/28/2015,routine
258,94,10/03/2014,routine
258,96,04/07/2014,routine
258,94,10/17/2013,routine
260,92,02/19/2016,routine
260,92,12/09/2014,routine
260,86,05/20/2014,routine
260,92,11/19/2013,routine
260,87,06/27/2013,routine
267,69,07/30/2015,routine
267,93,05/28/2014,routine
267,77,07/31/2013,routine
268,94,09/03/2015,routine
268,96,08/29/2014,routine
268,98,02/24/2014,routine
268,96,08/05/2013,routine
272,72,12/03/2014,routine
272,86,04/22/2014,routine
272,94,11/06/2013,routine
272,87,05/14/2013,routine
273,80,05/19/2015,routine
273,71,08/13/2014,routine
273,85,11/18/2013,routine
275,96,10/20/2015,routine
275,94,10/06/2014,routine
275,96,03/28/2014,routine
275,94,07/12/2013,routine
275,87,04/24/2013,routine
276,100,11/03/2015,routine
276,98,08/06/2014,routine
276,100,12/16/2013,routine
276,100,05/24/2013,routine
279,94,10/20/2015,routine
279,100,09/09/2014,routine
279,98,01/07/2014,routine
279,96,07/16/2013,routine
281,96,09/05/2014,routine
281,93,09/30/2013,routine
283,73,10/01/2015,routine
286,90,03/27/2014,routine
286,49,07/25/2013,routine
290,80,12/10/2014,routine
290,96,04/09/2014,routine
290,87,09/30/2013,routine
298,87,04/08/2016,routine
298,80,08/28/2015,routine
298,94,09/19/2014,routine
298,96,01/21/2014,routine
298,94,05/16/2013,routine
299,96,03/09/2015,routine
299,92,03/06/2014,routine
299,86,07/24/2013,routine
300,68,04/13/2016,routine
300,96,11/26/2014,routine
300,96,05/07/2014,routine
300,96,08/23/2013,routine
302,69,04/08/2015,routine
302,94,03/04/2014,routine
305,85,12/04/2014,routine
305,88,03/21/2014,routine
305,96,09/16/2013,routine
315,94,09/29/2015,routine
315,89,05/18/2015,routine
315,88,03/10/2014,routine
315,90,08/12/2013,routine
318,94,11/13/2015,routine
318,94,11/07/2014,routine
318,94,02/05/2014,routine
318,94,07/29/2013,routine
320,84,04/29/2015,routine
320,85,06/11/2014,routine
320,85,12/09/2013,routine
320,86,07/15/2013,routine
323,100,01/12/2016,routine
323,100,01/14/2014,routine
323,98,07/09/2013,routine
325,67,12/02/2014,routine
325,92,03/06/2014,routine
325,92,10/01/2013,routine
325,88,07/10/2013,routine
326,88,05/22/2014,routine
326,79,12/03/2013,routine
328,90,01/05/2016,routine
328,94,03/05/2014,routine
328,92,10/10/2013,routine
328,90,04/22/2013,routine
335,79,02/17/2016,routine
335,76,04/01/2015,routine
