business_id,date,description
10,07/29/2014,Insufficient hot water or running water  [ date violation corrected: 8/7/2014 ]
10,07/29/2014,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/7/2014 ]
10,01/14/2014,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 1/24/2014 ]
10,01/14/2014,Unclean or degraded floors walls or ceilings  [ date violation corrected: 1/24/2014 ]
10,01/14/2014,Improper storage of equipment utensils or linens  [ date violation corrected: 1/24/2014 ]
19,11/10/2014,Improper storage of equipment utensils or linens
19,11/10/2014,Inadequate food safety knowledge or lack of certified food safety manager
19,02/14/2014,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 2/14/2014 ]
19,02/14/2014,Permit license or inspection report not posted  [ date violation corrected: 11/10/2014 ]
19,09/04/2013,Foods not protected from contamination  [ date violation corrected: 9/4/2013 ]
24,03/11/2016,Unclean or degraded floors walls or ceilings
24,03/11/2016,Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/11/2016 ]
24,11/24/2014,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 3/11/2016 ]
24,06/12/2014,Permit license or inspection report not posted  [ date violation corrected: 11/24/2014 ]
24,06/12/2014,Improper storage of equipment utensils or linens  [ date violation corrected: 11/24/2014 ]
31,12/04/2015,Food safety certificate or food handler card not available
45,01/04/2016,Employee eating or smoking
45,01/04/2016,Inadequate food safety knowledge or lack of certified food safety manager
45,01/04/2016,Inadequate and inaccessible handwashing facilities
45,01/04/2016,Inadequately cleaned or sanitized food contact surfaces
45,01/04/2016,Unclean nonfood contact surfaces
45,01/04/2016,Unapproved or unmaintained equipment or utensils
45,01/04/2016,Unclean or degraded floors walls or ceilings
45,09/09/2014,Improper storage of equipment utensils or linens  [ date violation corrected: 12/28/2015 ]
45,09/09/2014,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/28/2015 ]
45,09/09/2014,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/28/2015 ]
45,12/09/2013,Food safety certificate or food handler card not available  [ date violation corrected: 9/1/2014 ]
45,12/09/2013,Moderate risk food holding temperature   [ date violation corrected: 12/9/2013 ]
48,05/23/2014,Foods not protected from contamination
48,05/23/2014,Unclean nonfood contact surfaces
48,05/23/2014,Low risk vermin infestation
48,11/01/2013,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/23/2014 ]
48,11/01/2013,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 5/23/2014 ]
48,11/01/2013,Unclean nonfood contact surfaces  [ date violation corrected: 5/23/2014 ]
48,11/01/2013,Improper storage use or identification of toxic substances  [ date violation corrected: 5/23/2014 ]
54,03/25/2014,Moderate risk food holding temperature   [ date violation corrected: 5/26/2015 ]
54,03/25/2014,Inadequate sewage or wastewater disposal  [ date violation corrected: 5/26/2015 ]
54,10/08/2013,Moderate risk food holding temperature   [ date violation corrected: 3/10/2014 ]
56,12/22/2015,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/30/2015 ]
56,12/22/2015,Moderate risk food holding temperature   [ date violation corrected: 12/30/2015 ]
56,12/22/2015,Foods not protected from contamination  [ date violation corrected: 12/30/2015 ]
56,11/17/2014,Permit license or inspection report not posted  [ date violation corrected: 12/22/2015 ]
56,10/21/2013,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 4/23/2014 ]
56,10/21/2013,Improper storage of equipment utensils or linens  [ date violation corrected: 4/23/2014 ]
56,10/21/2013,Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/23/2014 ]
58,04/07/2016,High risk food holding temperature   [ date violation corrected: 4/7/2016 ]
58,04/07/2016,Low risk vermin infestation
58,04/07/2016,No thermometers or uncalibrated thermometers 
58,04/07/2016,Inadequate ventilation or lighting
58,04/07/2016,Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/7/2016 ]
58,04/07/2016,Improper cooling methods  [ date violation corrected: 4/7/2016 ]
58,07/25/2014,Unclean or unsanitary food contact surfaces  [ date violation corrected: 8/5/2014 ]
58,07/25/2014,High risk vermin infestation  [ date violation corrected: 8/5/2014 ]
58,07/25/2014,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/5/2014 ]
58,07/25/2014,Moderate risk food holding temperature   [ date violation corrected: 8/5/2014 ]
58,10/01/2013,Moderate risk food holding temperature   [ date violation corrected: 10/11/2013 ]
58,10/01/2013,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/11/2013 ]
58,10/01/2013,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 10/11/2013 ]
58,10/01/2013,Moderate risk vermin infestation  [ date violation corrected: 10/11/2013 ]
58,10/01/2013,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/11/2013 ]
61,08/27/2015,Unclean nonfood contact surfaces
61,08/27/2015,Foods not protected from contamination
61,08/27/2015,Wiping cloths not clean or properly stored or inadequate sanitizer
61,05/30/2014,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/27/2015 ]
61,05/30/2014,Unclean nonfood contact surfaces  [ date violation corrected: 8/27/2015 ]
61,05/30/2014,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/30/2014 ]
61,10/28/2013,Moderate risk food holding temperature   [ date violation corrected: 10/28/2013 ]
61,10/28/2013,Foods not protected from contamination  [ date violation corrected: 10/28/2013 ]
66,03/22/2016,Wiping cloths not clean or properly stored or inadequate sanitizer
66,11/19/2014,Inadequate warewashing facilities or equipment  [ date violation corrected: 8/28/2015 ]
66,05/19/2014,No plan review or Building Permit  [ date violation corrected: 11/19/2014 ]
66,05/19/2014,No hot water or running water  [ date violation corrected: 5/19/2014 ]
66,02/10/2014,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 2/10/2014 ]
67,04/01/2016,Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/8/2016 ]
67,04/01/2016,Low risk vermin infestation
67,04/01/2016,Unclean or degraded floors walls or ceilings
67,04/01/2016,Unapproved or unmaintained equipment or utensils
67,05/20/2015,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/20/2015 ]
67,05/20/2015,Improper storage of equipment utensils or linens  [ date violation corrected: 4/1/2016 ]
67,05/20/2015,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 4/1/2016 ]
67,02/05/2014,Low risk vermin infestation  [ date violation corrected: 3/18/2014 ]
67,02/05/2014,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 3/18/2014 ]
67,08/01/2013,Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/5/2013 ]
73,07/17/2015,Improper storage of equipment utensils or linens
73,07/17/2015,High risk food holding temperature 
73,07/17/2015,Improper food storage
73,07/17/2015,Low risk vermin infestation
73,07/17/2015,Improper storage use or identification of toxic substances
73,05/22/2014,Improper food storage  [ date violation corrected: 7/17/2015 ]
73,05/22/2014,Unclean nonfood contact surfaces  [ date violation corrected: 7/17/2015 ]
73,05/22/2014,Foods not protected from contamination  [ date violation corrected: 7/17/2015 ]
73,12/20/2013,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/20/2013 ]
73,12/20/2013,Improper storage of equipment utensils or linens  [ date violation corrected: 5/22/2014 ]
73,12/20/2013,Improper or defective plumbing  [ date violation corrected: 5/22/2014 ]
73,05/24/2013,Improper food storage  [ date violation corrected: 12/20/2013 ]
73,05/24/2013,Foods not protected from contamination  [ date violation corrected: 5/24/2013 ]
73,05/24/2013,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/20/2013 ]
76,06/12/2014,Improper storage of equipment utensils or linens  [ date violation corrected: 11/24/2014 ]
76,06/12/2014,Permit license or inspection report not posted  [ date violation corrected: 11/24/2014 ]
76,11/18/2013,Improper storage of equipment utensils or linens  [ date violation corrected: 6/12/2014 ]
77,03/11/2016,High risk food holding temperature 
77,03/11/2016,Unapproved or unmaintained equipment or utensils
77,11/24/2014,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/11/2016 ]
77,11/24/2014,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 3/11/2016 ]
77,06/12/2014,Moderate risk food holding temperature   [ date violation corrected: 11/24/2014 ]
77,06/12/2014,Permit license or inspection report not posted  [ date violation corrected: 11/24/2014 ]
80,04/12/2016,Improper food storage
80,12/04/2013,High risk food holding temperature   [ date violation corrected: 5/20/2014 ]
80,12/04/2013,Other high risk violation  [ date violation corrected: 5/20/2014 ]
81,03/30/2015,Moderate risk food holding temperature   [ date violation corrected: 5/4/2015 ]
81,02/10/2014,Foods not protected from contamination  [ date violation corrected: 3/30/2015 ]
81,02/10/2014,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 3/30/2015 ]
88,08/24/2015,Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/6/2015 ]
88,08/24/2015,High risk food holding temperature   [ date violation corrected: 10/6/2015 ]
88,08/24/2015,Permit license or inspection report not posted  [ date violation corrected: 10/6/2015 ]
88,10/14/2014,Contaminated or adulterated food  [ date violation corrected: 10/14/2014 ]
88,10/14/2014,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/14/2014 ]
88,10/14/2014,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 11/10/2014 ]
88,10/14/2014,Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/10/2014 ]
88,10/14/2014,High risk food holding temperature   [ date violation corrected: 11/10/2014 ]
88,10/14/2014,Moderate risk vermin infestation  [ date violation corrected: 11/10/2014 ]
88,03/19/2014,Unclean or unsanitary food contact surfaces  [ date violation corrected: 10/14/2014 ]
88,03/19/2014,Improper cooling methods  [ date violation corrected: 10/14/2014 ]
88,02/11/2014,High risk food holding temperature   [ date violation corrected: 10/14/2014 ]
88,02/11/2014,Contaminated or adulterated food  [ date violation corrected: 3/19/2014 ]
88,02/11/2014,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 2/25/2014 ]
88,02/11/2014,Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/14/2014 ]
88,02/11/2014,Unclean nonfood contact surfaces  [ date violation corrected: 10/14/2014 ]
95,12/10/2015,Inadequately cleaned or sanitized food contact surfaces
95,12/10/2015,Moderate risk vermin infestation
95,12/10/2015,Unclean nonfood contact surfaces
95,12/10/2015,Unclean or degraded floors walls or ceilings
95,10/09/2014,Food safety certificate or food handler card not available  [ date violation corrected: 12/1/2015 ]
95,10/09/2014,High risk vermin infestation  [ date violation corrected: 12/1/2015 ]
95,10/09/2014,Improper food storage  [ date violation corrected: 12/1/2015 ]
95,10/09/2014,Unclean nonfood contact surfaces  [ date violation corrected: 12/1/2015 ]
95,10/09/2014,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/1/2015 ]
95,05/06/2014,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 10/7/2014 ]
95,05/06/2014,Unclean nonfood contact surfaces  [ date violation corrected: 5/23/2014 ]
95,05/06/2014,Insufficient hot water or running water  [ date violation corrected: 5/23/2014 ]
95,05/06/2014,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 5/23/2014 ]
95,05/06/2014,Permit license or inspection report not posted  [ date violation corrected: 5/23/2014 ]
95,05/15/2013,Improper food storage  [ date violation corrected: 5/15/2013 ]
95,05/15/2013,Unclean nonfood contact surfaces  [ date violation corrected: 5/23/2013 ]
95,05/15/2013,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 5/23/2013 ]
95,05/15/2013,Moderate risk vermin infestation  [ date violation corrected: 5/23/2013 ]
98,03/16/2016,Inadequate food safety knowledge or lack of certified food safety manager
98,06/29/2015,Moderate risk vermin infestation  [ date violation corrected: 6/29/2015 ]
98,06/29/2015,Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/16/2016 ]
98,03/24/2014,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 3/24/2014 ]
98,08/19/2013,Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/24/2014 ]
99,08/11/2015,Improper storage of equipment utensils or linens  [ date violation corrected: 8/18/2015 ]
99,08/11/2015,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/18/2015 ]
99,08/11/2015,Improper food storage  [ date violation corrected: 8/18/2015 ]
99,08/11/2015,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/18/2015 ]
99,08/11/2015,Foods not protected from contamination  [ date violation corrected: 8/18/2015 ]
99,08/11/2015,Moderate risk vermin infestation  [ date violation corrected: 8/18/2015 ]
99,08/11/2015,Improper thawing methods   [ date violation corrected: 8/18/2015 ]
99,08/11/2015,Inadequate ventilation or lighting  [ date violation corrected: 8/18/2015 ]
101,09/02/2014,Inadequate food safety knowledge or lack of certified food safety manager
102,05/07/2014,Unclean or unsanitary food contact surfaces  [ date violation corrected: 5/7/2014 ]
102,05/07/2014,Inadequate ventilation or lighting  [ date violation corrected: 5/14/2014 ]
102,08/29/2013,Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/7/2014 ]
102,08/29/2013,Unclean nonfood contact surfaces  [ date violation corrected: 9/18/2013 ]
102,08/29/2013,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 9/18/2013 ]
108,04/17/2015,Foods not protected from contamination
108,04/17/2015,Unapproved or unmaintained equipment or utensils
108,11/05/2013,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 11/15/2013 ]
108,11/05/2013,Foods not protected from contamination  [ date violation corrected: 11/15/2013 ]
108,11/05/2013,Moderate risk vermin infestation  [ date violation corrected: 11/15/2013 ]
108,11/05/2013,Inadequate ventilation or lighting  [ date violation corrected: 11/15/2013 ]
108,11/05/2013,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/15/2013 ]
108,11/05/2013,Unapproved  living quarters in food facility  [ date violation corrected: 11/15/2013 ]
108,11/05/2013,Permit license or inspection report not posted  [ date violation corrected: 11/15/2013 ]
116,09/10/2014,Moderate risk food holding temperature 
121,10/20/2015,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/29/2015 ]
121,10/20/2015,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/29/2015 ]
121,10/20/2015,Moderate risk vermin infestation  [ date violation corrected: 10/29/2015 ]
121,10/20/2015,Improper storage use or identification of toxic substances  [ date violation corrected: 10/29/2015 ]
121,08/13/2014,Foods not protected from contamination  [ date violation corrected: 8/20/2014 ]
121,08/13/2014,Low risk vermin infestation  [ date violation corrected: 8/20/2014 ]
121,08/13/2014,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/20/2014 ]
121,08/13/2014,Improper or defective plumbing  [ date violation corrected: 8/20/2014 ]
121,01/29/2014,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 2/12/2014 ]
121,01/29/2014,High risk food holding temperature   [ date violation corrected: 2/12/2014 ]
121,01/29/2014,Improper food storage  [ date violation corrected: 2/12/2014 ]
125,05/29/2013,Permit license or inspection report not posted  [ date violation corrected: 9/15/2014 ]
125,05/29/2013,Improper food storage  [ date violation corrected: 9/15/2014 ]
126,12/01/2015,Unclean or degraded floors walls or ceilings
126,12/01/2015,Inadequately cleaned or sanitized food contact surfaces
126,12/01/2015,Unapproved or unmaintained equipment or utensils
126,12/01/2015,Improper food storage
126,12/01/2015,Foods not protected from contamination
126,12/01/2015,Moderate risk vermin infestation
126,12/01/2015,Wiping cloths not clean or properly stored or inadequate sanitizer
126,10/28/2014,Inadequate or unsanitary refuse containers or area or no garbage service  [ date violation corrected: 11/3/2014 ]
126,10/28/2014,High risk food holding temperature   [ date violation corrected: 10/28/2014 ]
126,10/28/2014,Moderate risk vermin infestation  [ date violation corrected: 11/3/2014 ]
126,10/28/2014,Foods not protected from contamination  [ date violation corrected: 11/3/2014 ]
126,10/28/2014,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 11/3/2014 ]
126,10/28/2014,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/3/2014 ]
